,SampleAlgorithm,%FeatureSelection,#Features,FeatureImportance,OriginalFS,Algorithm,%Configurations,Dummy,StartTime,EndTime
0,distBased,1.0,34,False,None,DecisionTree,0.1,False,2023-06-18 18:09:30.028373,2023-06-18 18:10:04.199422
10,distBased,1.0,34,False,None,DecisionTree,0.2,False,2023-06-18 18:10:04.218111,2023-06-18 18:10:44.027951
20,distBased,1.0,34,False,None,DecisionTree,0.3,False,2023-06-18 18:10:44.035705,2023-06-18 18:11:12.963989
30,distBased,1.0,34,False,None,DecisionTree,0.4,False,2023-06-18 18:11:12.969170,2023-06-18 18:11:40.129287
40,distBased,1.0,34,False,None,DecisionTree,0.5,False,2023-06-18 18:11:40.137426,2023-06-18 18:12:08.713244
50,distBased,1.0,34,False,None,DecisionTree,0.6,False,2023-06-18 18:12:08.737325,2023-06-18 18:12:37.503661
60,distBased,1.0,34,False,None,DecisionTree,0.7,False,2023-06-18 18:12:37.529029,2023-06-18 18:13:06.526005
70,distBased,1.0,34,False,None,DecisionTree,0.8,False,2023-06-18 18:13:06.536473,2023-06-18 18:13:34.978935
80,distBased,1.0,34,False,None,DecisionTree,0.9,False,2023-06-18 18:13:34.988272,2023-06-18 18:14:08.066560
90,distBased,1.0,34,False,None,DecisionTree,,,2023-06-18 18:09:30.027299,2023-06-18 18:14:08.074682
100,divDistBased,1.0,34,False,None,DecisionTree,0.1,False,2023-06-18 18:14:12.747200,2023-06-18 18:14:32.071603
110,divDistBased,1.0,34,False,None,DecisionTree,0.2,False,2023-06-18 18:14:32.096032,2023-06-18 18:14:53.522273
120,divDistBased,1.0,34,False,None,DecisionTree,0.3,False,2023-06-18 18:14:53.545309,2023-06-18 18:15:22.998159
130,divDistBased,1.0,34,False,None,DecisionTree,0.4,False,2023-06-18 18:15:23.003503,2023-06-18 18:15:36.301200
140,divDistBased,1.0,34,False,None,DecisionTree,0.5,False,2023-06-18 18:15:36.328011,2023-06-18 18:16:00.817095
150,divDistBased,1.0,34,False,None,DecisionTree,0.6,False,2023-06-18 18:16:00.838440,2023-06-18 18:16:32.132115
160,divDistBased,1.0,34,False,None,DecisionTree,0.7,False,2023-06-18 18:16:32.140387,2023-06-18 18:17:13.878193
170,divDistBased,1.0,34,False,None,DecisionTree,0.8,False,2023-06-18 18:17:13.931181,2023-06-18 18:17:40.886952
180,divDistBased,1.0,34,False,None,DecisionTree,0.9,False,2023-06-18 18:17:40.894846,2023-06-18 18:18:16.748554
190,divDistBased,1.0,34,False,None,DecisionTree,,,2023-06-18 18:14:12.745765,2023-06-18 18:18:16.760954
200,henard,1.0,34,False,None,DecisionTree,0.1,False,2023-06-18 18:18:21.274500,2023-06-18 18:18:43.931522
210,henard,1.0,34,False,None,DecisionTree,0.2,False,2023-06-18 18:18:43.955175,2023-06-18 18:19:14.120413
220,henard,1.0,34,False,None,DecisionTree,0.3,False,2023-06-18 18:19:14.129530,2023-06-18 18:19:37.417837
230,henard,1.0,34,False,None,DecisionTree,0.4,False,2023-06-18 18:19:37.441423,2023-06-18 18:20:01.151570
240,henard,1.0,34,False,None,DecisionTree,0.5,False,2023-06-18 18:20:01.172865,2023-06-18 18:20:30.560745
250,henard,1.0,34,False,None,DecisionTree,0.6,False,2023-06-18 18:20:30.587285,2023-06-18 18:21:00.105575
260,henard,1.0,34,False,None,DecisionTree,0.7,False,2023-06-18 18:21:00.113605,2023-06-18 18:21:26.669489
270,henard,1.0,34,False,None,DecisionTree,0.8,False,2023-06-18 18:21:26.700748,2023-06-18 18:21:56.799244
280,henard,1.0,34,False,None,DecisionTree,0.9,False,2023-06-18 18:21:56.825443,2023-06-18 18:22:33.273228
290,henard,1.0,34,False,None,DecisionTree,,,2023-06-18 18:18:21.272768,2023-06-18 18:22:33.281949
300,random,1.0,34,False,None,DecisionTree,0.1,False,2023-06-18 18:22:40.102082,2023-06-18 18:22:56.620655
310,random,1.0,34,False,None,DecisionTree,0.2,False,2023-06-18 18:22:56.660319,2023-06-18 18:23:17.962065
320,random,1.0,34,False,None,DecisionTree,0.3,False,2023-06-18 18:23:17.984535,2023-06-18 18:23:39.530630
330,random,1.0,34,False,None,DecisionTree,0.4,False,2023-06-18 18:23:39.555789,2023-06-18 18:24:03.072592
340,random,1.0,34,False,None,DecisionTree,0.5,False,2023-06-18 18:24:03.081139,2023-06-18 18:24:25.602683
350,random,1.0,34,False,None,DecisionTree,0.6,False,2023-06-18 18:24:25.610848,2023-06-18 18:24:52.764518
360,random,1.0,34,False,None,DecisionTree,0.7,False,2023-06-18 18:24:52.791242,2023-06-18 18:25:24.410927
370,random,1.0,34,False,None,DecisionTree,0.8,False,2023-06-18 18:25:24.436956,2023-06-18 18:25:57.911741
380,random,1.0,34,False,None,DecisionTree,0.9,False,2023-06-18 18:25:57.921716,2023-06-18 18:26:44.421526
390,random,1.0,34,False,None,DecisionTree,,,2023-06-18 18:22:40.100483,2023-06-18 18:26:44.446562
400,solverBased,1.0,34,False,None,DecisionTree,0.1,False,2023-06-18 18:26:50.064136,2023-06-18 18:27:09.939981
410,solverBased,1.0,34,False,None,DecisionTree,0.2,False,2023-06-18 18:27:09.964596,2023-06-18 18:27:34.176138
420,solverBased,1.0,34,False,None,DecisionTree,0.3,False,2023-06-18 18:27:34.215915,2023-06-18 18:28:00.112698
430,solverBased,1.0,34,False,None,DecisionTree,0.4,False,2023-06-18 18:28:00.139206,2023-06-18 18:28:21.044120
440,solverBased,1.0,34,False,None,DecisionTree,0.5,False,2023-06-18 18:28:21.065052,2023-06-18 18:28:40.385587
450,solverBased,1.0,34,False,None,DecisionTree,0.6,False,2023-06-18 18:28:40.415129,2023-06-18 18:29:13.776536
460,solverBased,1.0,34,False,None,DecisionTree,0.7,False,2023-06-18 18:29:13.809871,2023-06-18 18:29:45.717290
470,solverBased,1.0,34,False,None,DecisionTree,0.8,False,2023-06-18 18:29:45.754772,2023-06-18 18:30:19.828805
480,solverBased,1.0,34,False,None,DecisionTree,0.9,False,2023-06-18 18:30:19.853327,2023-06-18 18:30:55.451301
490,solverBased,1.0,34,False,None,DecisionTree,,,2023-06-18 18:26:50.062567,2023-06-18 18:30:55.460498
500,twise,1.0,34,False,None,DecisionTree,0.1,False,2023-06-18 18:31:03.057849,2023-06-18 18:31:21.632699
510,twise,1.0,34,False,None,DecisionTree,0.2,False,2023-06-18 18:31:21.643144,2023-06-18 18:31:47.985298
520,twise,1.0,34,False,None,DecisionTree,0.3,False,2023-06-18 18:31:48.007982,2023-06-18 18:32:15.151520
530,twise,1.0,34,False,None,DecisionTree,0.4,False,2023-06-18 18:32:15.159995,2023-06-18 18:32:47.629857
540,twise,1.0,34,False,None,DecisionTree,0.5,False,2023-06-18 18:32:47.654181,2023-06-18 18:33:12.333538
550,twise,1.0,34,False,None,DecisionTree,0.6,False,2023-06-18 18:33:12.360373,2023-06-18 18:33:42.195114
560,twise,1.0,34,False,None,DecisionTree,0.7,False,2023-06-18 18:33:42.203444,2023-06-18 18:34:14.564464
570,twise,1.0,34,False,None,DecisionTree,0.8,False,2023-06-18 18:34:14.598778,2023-06-18 18:34:45.712076
580,twise,1.0,34,False,None,DecisionTree,0.9,False,2023-06-18 18:34:45.741260,2023-06-18 18:35:17.685056
590,twise,1.0,34,False,None,DecisionTree,,,2023-06-18 18:31:03.056647,2023-06-18 18:35:17.709505
