,SampleAlgorithm,%FeatureSelection,#Features,FeatureImportance,OriginalFS,Algorithm,%Configurations,Dummy,StartTime,EndTime
0,distBased,1.0,46,False,None,RandomForest,0.1,False,2023-06-15 22:26:43.007711,2023-06-15 22:27:26.741574
10,distBased,1.0,46,False,None,RandomForest,0.2,False,2023-06-15 22:27:26.746121,2023-06-15 22:28:15.884524
20,distBased,1.0,46,False,None,RandomForest,0.3,False,2023-06-15 22:28:15.923083,2023-06-15 22:29:26.052998
30,distBased,1.0,46,False,None,RandomForest,0.4,False,2023-06-15 22:29:26.082552,2023-06-15 22:30:44.085390
40,distBased,1.0,46,False,None,RandomForest,0.5,False,2023-06-15 22:30:44.126240,2023-06-15 22:32:13.974837
50,distBased,1.0,46,False,None,RandomForest,0.6,False,2023-06-15 22:32:14.004093,2023-06-15 22:33:55.431605
60,distBased,1.0,46,False,None,RandomForest,0.7,False,2023-06-15 22:33:55.462486,2023-06-15 22:35:50.364329
70,distBased,1.0,46,False,None,RandomForest,0.8,False,2023-06-15 22:35:50.372170,2023-06-15 22:38:02.600871
80,distBased,1.0,46,False,None,RandomForest,0.9,False,2023-06-15 22:38:02.634914,2023-06-15 22:40:18.668198
90,distBased,1.0,46,False,None,RandomForest,,,2023-06-15 22:26:43.000157,2023-06-15 22:40:18.678432
100,divDistBased,1.0,46,False,None,RandomForest,0.1,False,2023-06-15 22:40:35.236082,2023-06-15 22:41:23.920094
110,divDistBased,1.0,46,False,None,RandomForest,0.2,False,2023-06-15 22:41:23.950928,2023-06-15 22:42:17.257266
120,divDistBased,1.0,46,False,None,RandomForest,0.3,False,2023-06-15 22:42:17.307601,2023-06-15 22:43:26.838301
130,divDistBased,1.0,46,False,None,RandomForest,0.4,False,2023-06-15 22:43:26.863892,2023-06-15 22:44:41.327741
140,divDistBased,1.0,46,False,None,RandomForest,0.5,False,2023-06-15 22:44:41.339914,2023-06-15 22:46:15.570462
150,divDistBased,1.0,46,False,None,RandomForest,0.6,False,2023-06-15 22:46:15.597584,2023-06-15 22:47:54.119900
160,divDistBased,1.0,46,False,None,RandomForest,0.7,False,2023-06-15 22:47:54.148330,2023-06-15 22:49:49.123176
170,divDistBased,1.0,46,False,None,RandomForest,0.8,False,2023-06-15 22:49:49.164044,2023-06-15 22:52:00.720046
180,divDistBased,1.0,46,False,None,RandomForest,0.9,False,2023-06-15 22:52:00.741588,2023-06-15 22:54:21.965360
190,divDistBased,1.0,46,False,None,RandomForest,,,2023-06-15 22:40:35.232906,2023-06-15 22:54:22.004079
200,henard,1.0,46,False,None,RandomForest,0.1,False,2023-06-15 22:54:36.613791,2023-06-15 22:55:20.315571
210,henard,1.0,46,False,None,RandomForest,0.2,False,2023-06-15 22:55:20.384443,2023-06-15 22:56:14.494586
220,henard,1.0,46,False,None,RandomForest,0.3,False,2023-06-15 22:56:14.505289,2023-06-15 22:57:16.644925
230,henard,1.0,46,False,None,RandomForest,0.4,False,2023-06-15 22:57:16.683906,2023-06-15 22:58:29.995619
240,henard,1.0,46,False,None,RandomForest,0.5,False,2023-06-15 22:58:30.031338,2023-06-15 22:59:46.204164
250,henard,1.0,46,False,None,RandomForest,0.6,False,2023-06-15 22:59:46.229539,2023-06-15 23:01:15.847113
260,henard,1.0,46,False,None,RandomForest,0.7,False,2023-06-15 23:01:15.879159,2023-06-15 23:03:08.660688
270,henard,1.0,46,False,None,RandomForest,0.8,False,2023-06-15 23:03:08.686104,2023-06-15 23:04:58.748806
280,henard,1.0,46,False,None,RandomForest,0.9,False,2023-06-15 23:04:58.761521,2023-06-15 23:07:04.236671
290,henard,1.0,46,False,None,RandomForest,,,2023-06-15 22:54:36.611341,2023-06-15 23:07:04.258951
