,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy
0,LinearRegression,False,None,"Index(['root', 'HAVE_CRYPTO', 'HAVE_HASH', 'HAVE_REPLICATION', 'HAVE_VERIFY',
       'HAVE_SEQUENCE', 'HAVE_STATISTICS', 'DIAGNOSTIC', 'PAGESIZE', 'PS1K',
       'PS4K', 'PS8K', 'PS16K', 'PS32K', 'CACHESIZE', 'CS32MB', 'CS16MB',
       'CS64MB', 'CS512MB', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.1,"HAVE_CRYPTO         1.884041e+01
PS32K               1.713327e+01
PS1K                1.319836e+01
HAVE_VERIFY         8.660270e+00
PS4K                8.434888e+00
PS16K               8.194980e+00
HAVE_STATISTICS     4.967094e+00
#yes                3.809833e+00
PS8K                3.695006e+00
CS16MB              2.082931e+00
DIAGNOSTIC          9.040819e-01
CS32MB              8.574870e-01
CS64MB              7.830066e-01
HAVE_HASH           7.620309e-01
HAVE_SEQUENCE       6.873928e-01
HAVE_REPLICATION    5.737727e-01
CS512MB             4.424371e-01
CACHESIZE           1.421085e-14
PAGESIZE            1.776357e-15
dtype: float64","count     327.000000
mean      776.966839
std      1596.695498
min         0.370613
25%        18.084233
50%        62.924041
75%       445.813503
max      7282.638333
Name: % error, dtype: float64"
1,Lasso,False,None,"Index(['root', 'HAVE_CRYPTO', 'HAVE_HASH', 'HAVE_REPLICATION', 'HAVE_VERIFY',
       'HAVE_SEQUENCE', 'HAVE_STATISTICS', 'DIAGNOSTIC', 'PAGESIZE', 'PS1K',
       'PS4K', 'PS8K', 'PS16K', 'PS32K', 'CACHESIZE', 'CS32MB', 'CS16MB',
       'CS64MB', 'CS512MB', '#yes'],
      dtype='object')","Lasso(alpha=0.05, max_iter=100)",Performance,0.1,"PS32K              19.707253
HAVE_CRYPTO        19.420024
PS16K              11.150211
PS1K                9.358139
HAVE_VERIFY         6.560476
PS4K                3.663102
HAVE_STATISTICS     3.060486
#yes                2.825574
CS16MB              2.003221
CS32MB              0.334765
HAVE_HASH           0.136636
dtype: float64","count     327.000000
mean      721.872602
std      1508.684449
min         0.782352
25%        18.488681
50%        48.481114
75%       400.049262
max      6747.269523
Name: % error, dtype: float64"
2,Ridge,False,None,"Index(['root', 'HAVE_CRYPTO', 'HAVE_HASH', 'HAVE_REPLICATION', 'HAVE_VERIFY',
       'HAVE_SEQUENCE', 'HAVE_STATISTICS', 'DIAGNOSTIC', 'PAGESIZE', 'PS1K',
       'PS4K', 'PS8K', 'PS16K', 'PS32K', 'CACHESIZE', 'CS32MB', 'CS16MB',
       'CS64MB', 'CS512MB', '#yes'],
      dtype='object')",Ridge(alpha=0.1),Performance,0.1,"HAVE_CRYPTO         18.167027
PS32K               16.458990
PS1K                12.873065
HAVE_VERIFY          8.267470
PS4K                 8.013865
PS16K                7.924883
HAVE_STATISTICS      4.855212
#yes                 3.732022
PS8K                 3.496943
CS16MB               1.903903
CS32MB               0.939366
HAVE_SEQUENCE        0.675302
CS64MB               0.653912
HAVE_REPLICATION     0.556864
DIAGNOSTIC           0.462725
HAVE_HASH            0.382568
CS512MB              0.310625
dtype: float64","count     327.000000
mean      742.570392
std      1528.425987
min         0.421281
25%        19.234497
50%        55.994661
75%       436.533468
max      6978.533535
Name: % error, dtype: float64"
3,ElasticNet,False,None,"Index(['root', 'HAVE_CRYPTO', 'HAVE_HASH', 'HAVE_REPLICATION', 'HAVE_VERIFY',
       'HAVE_SEQUENCE', 'HAVE_STATISTICS', 'DIAGNOSTIC', 'PAGESIZE', 'PS1K',
       'PS4K', 'PS8K', 'PS16K', 'PS32K', 'CACHESIZE', 'CS32MB', 'CS16MB',
       'CS64MB', 'CS512MB', '#yes'],
      dtype='object')","ElasticNet(alpha=0.05, l1_ratio=1.0, max_iter=100)",Performance,0.1,"PS32K              19.707253
HAVE_CRYPTO        19.420024
PS16K              11.150211
PS1K                9.358139
HAVE_VERIFY         6.560476
PS4K                3.663102
HAVE_STATISTICS     3.060486
#yes                2.825574
CS16MB              2.003221
CS32MB              0.334765
HAVE_HASH           0.136636
dtype: float64","count     327.000000
mean      721.872602
std      1508.684449
min         0.782352
25%        18.488681
50%        48.481114
75%       400.049262
max      6747.269523
Name: % error, dtype: float64"
4,RandomForest,False,None,"Index(['root', 'HAVE_CRYPTO', 'HAVE_HASH', 'HAVE_REPLICATION', 'HAVE_VERIFY',
       'HAVE_SEQUENCE', 'HAVE_STATISTICS', 'DIAGNOSTIC', 'PAGESIZE', 'PS1K',
       'PS4K', 'PS8K', 'PS16K', 'PS32K', 'CACHESIZE', 'CS32MB', 'CS16MB',
       'CS64MB', 'CS512MB', '#yes'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"13               PS32K
1          HAVE_CRYPTO
12               PS16K
11                PS8K
10                PS4K
9                 PS1K
2            HAVE_HASH
19                #yes
6      HAVE_STATISTICS
7           DIAGNOSTIC
3     HAVE_REPLICATION
4          HAVE_VERIFY
15              CS32MB
5        HAVE_SEQUENCE
16              CS16MB
17              CS64MB
18             CS512MB
8             PAGESIZE
14           CACHESIZE
0                 root
Name: feature, dtype: object","count    327.000000
mean      96.423549
std      163.360111
min        0.032798
25%        5.655674
50%       24.270943
75%      110.554957
max      901.523209
Name: % error, dtype: float64"
5,LinearRegression,False,None,"Index(['root', 'HAVE_CRYPTO', 'HAVE_HASH', 'HAVE_REPLICATION', 'HAVE_VERIFY',
       'HAVE_SEQUENCE', 'HAVE_STATISTICS', 'DIAGNOSTIC', 'PAGESIZE', 'PS1K',
       'PS4K', 'PS8K', 'PS16K', 'PS32K', 'CACHESIZE', 'CS32MB', 'CS16MB',
       'CS64MB', 'CS512MB', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.2,"HAVE_CRYPTO         1.960723e+01
PS32K               1.640325e+01
PS1K                1.334447e+01
PS16K               6.319827e+00
HAVE_REPLICATION    5.726639e+00
PS4K                5.659790e+00
DIAGNOSTIC          3.769089e+00
PS8K                3.718817e+00
#yes                3.284906e+00
HAVE_VERIFY         2.940541e+00
HAVE_STATISTICS     2.642827e+00
HAVE_SEQUENCE       1.383966e+00
CS64MB              7.076534e-01
CS512MB             6.006599e-01
CS16MB              2.091933e-01
HAVE_HASH           1.407336e-01
CS32MB              1.021998e-01
PAGESIZE            5.329071e-15
CACHESIZE           8.881784e-16
dtype: float64","count     291.000000
mean      698.143477
std      1451.017580
min         0.033224
25%        14.124557
50%        53.423132
75%       446.818181
max      5839.775361
Name: % error, dtype: float64"
6,Lasso,False,None,"Index(['root', 'HAVE_CRYPTO', 'HAVE_HASH', 'HAVE_REPLICATION', 'HAVE_VERIFY',
       'HAVE_SEQUENCE', 'HAVE_STATISTICS', 'DIAGNOSTIC', 'PAGESIZE', 'PS1K',
       'PS4K', 'PS8K', 'PS16K', 'PS32K', 'CACHESIZE', 'CS32MB', 'CS16MB',
       'CS64MB', 'CS512MB', '#yes'],
      dtype='object')","Lasso(alpha=0.3, max_iter=10)",Performance,0.2,"HAVE_CRYPTO         19.111952
PS32K               15.528599
PS1K                10.740327
PS16K                5.727750
PS4K                 3.305288
HAVE_REPLICATION     1.199461
#yes                 0.797022
PS8K                 0.269976
dtype: float64","count     291.000000
mean      567.968600
std      1198.554727
min         0.776648
25%        19.667281
50%        46.305156
75%       313.954726
max      4970.292578
Name: % error, dtype: float64"
7,Ridge,False,None,"Index(['root', 'HAVE_CRYPTO', 'HAVE_HASH', 'HAVE_REPLICATION', 'HAVE_VERIFY',
       'HAVE_SEQUENCE', 'HAVE_STATISTICS', 'DIAGNOSTIC', 'PAGESIZE', 'PS1K',
       'PS4K', 'PS8K', 'PS16K', 'PS32K', 'CACHESIZE', 'CS32MB', 'CS16MB',
       'CS64MB', 'CS512MB', '#yes'],
      dtype='object')",Ridge(alpha=0.3),Performance,0.2,"HAVE_CRYPTO         18.755489
PS32K               15.796685
PS1K                12.800912
PS16K                6.057458
PS4K                 5.595970
HAVE_REPLICATION     5.563416
PS8K                 3.457260
DIAGNOSTIC           3.194094
#yes                 3.189396
HAVE_STATISTICS      2.853517
HAVE_VERIFY          2.818780
HAVE_SEQUENCE        1.330976
CS64MB               0.827280
CS512MB              0.644520
CS16MB               0.283978
HAVE_HASH            0.194690
CS32MB               0.101219
dtype: float64","count     291.000000
mean      661.364912
std      1368.231881
min         0.074554
25%        15.532593
50%        52.303306
75%       420.667025
max      5550.904269
Name: % error, dtype: float64"
8,ElasticNet,False,None,"Index(['root', 'HAVE_CRYPTO', 'HAVE_HASH', 'HAVE_REPLICATION', 'HAVE_VERIFY',
       'HAVE_SEQUENCE', 'HAVE_STATISTICS', 'DIAGNOSTIC', 'PAGESIZE', 'PS1K',
       'PS4K', 'PS8K', 'PS16K', 'PS32K', 'CACHESIZE', 'CS32MB', 'CS16MB',
       'CS64MB', 'CS512MB', '#yes'],
      dtype='object')","ElasticNet(alpha=0.3, l1_ratio=1.0, max_iter=10)",Performance,0.2,"HAVE_CRYPTO         19.111952
PS32K               15.528599
PS1K                10.740327
PS16K                5.727750
PS4K                 3.305288
HAVE_REPLICATION     1.199461
#yes                 0.797022
PS8K                 0.269976
dtype: float64","count     291.000000
mean      567.968600
std      1198.554727
min         0.776648
25%        19.667281
50%        46.305156
75%       313.954726
max      4970.292578
Name: % error, dtype: float64"
9,RandomForest,False,None,"Index(['root', 'HAVE_CRYPTO', 'HAVE_HASH', 'HAVE_REPLICATION', 'HAVE_VERIFY',
       'HAVE_SEQUENCE', 'HAVE_STATISTICS', 'DIAGNOSTIC', 'PAGESIZE', 'PS1K',
       'PS4K', 'PS8K', 'PS16K', 'PS32K', 'CACHESIZE', 'CS32MB', 'CS16MB',
       'CS64MB', 'CS512MB', '#yes'],
      dtype='object')",RandomForestRegressor(),Performance,0.2,"13               PS32K
1          HAVE_CRYPTO
12               PS16K
11                PS8K
10                PS4K
9                 PS1K
2            HAVE_HASH
19                #yes
6      HAVE_STATISTICS
7           DIAGNOSTIC
3     HAVE_REPLICATION
4          HAVE_VERIFY
15              CS32MB
5        HAVE_SEQUENCE
16              CS16MB
17              CS64MB
18             CS512MB
8             PAGESIZE
14           CACHESIZE
0                 root
Name: feature, dtype: object","count    291.000000
mean      25.491528
std       51.327353
min        0.004664
25%        0.557942
50%        2.272906
75%       22.544112
max      253.480879
Name: % error, dtype: float64"
